formula,property
Cr-Y-Ni-C,0.061230704
Cr-Y-Ni-N,0.14711605
Cr-Y-P-C,0.37318256
Cr-Y-P-N,0.3146894
Cr-Y-Pb-C,0.17801306
Cr-Y-Pb-N,0.36521944
Cr-Y-S-C,0.48027653
Cr-Y-S-N,0.34904203
Cr-Y-Sb-C,0.27598158
Cr-Y-Sb-N,0.2775894
Cr-Y-Si-C,0.10202804
Cr-Y-Si-N,0.24365278
Cr-Y-Sn-C,0.13713257
Cr-Y-Sn-N,0.21709764
Cr-Y-Tl-C,0.17660506
Cr-Y-Tl-N,0.29293996
Cr-Y-Zn-C,0.011701425
Cr-Y-Zn-N,0.08219062
Cr-Zr-Al-C,-0.022134002
Cr-Zr-Al-N,0.19987687
Cr-Zr-As-C,0.114308685
Cr-Zr-As-N,0.1912567
Cr-Zr-Au-C,0.07704395
Cr-Zr-Au-N,0.11510885
Cr-Zr-Bi-C,0.25069705
Cr-Zr-Bi-N,0.38808438
Cr-Zr-Cd-C,0.10600243
Cr-Zr-Cd-N,0.19001299
Cr-Zr-Co-C,0.046383504
Cr-Zr-Co-N,0.13353117
Cr-Zr-Cu-C,0.07408067
Cr-Zr-Cu-N,0.16535634
Cr-Zr-Fe-C,0.057162415
Cr-Zr-Fe-N,0.11995381
Cr-Zr-Ga-C,-0.027878521
Cr-Zr-Ga-N,0.05917248
Cr-Zr-Ge-C,0.041948117
Cr-Zr-Ge-N,0.12783031
Cr-Zr-In-C,0.08727512
Cr-Zr-In-N,0.15379599
Cr-Zr-Ni-C,0.047149252
Cr-Zr-Ni-N,0.109598115
Cr-Zr-P-C,0.16621973
Cr-Zr-P-N,0.24202347
Cr-Zr-Pb-C,0.2999796
Cr-Zr-Pb-N,0.3474269
Cr-Zr-S-C,0.18780927
Cr-Zr-S-N,0.21986765
Cr-Zr-Sb-C,0.19115281
Cr-Zr-Sb-N,0.2868842
Cr-Zr-Si-C,0.08286126
Cr-Zr-Si-N,0.24098496
Cr-Zr-Sn-C,0.121690616
Cr-Zr-Sn-N,0.22187628
Cr-Zr-Tl-C,0.23092313
Cr-Zr-Tl-N,0.27122873
Cr-Zr-Zn-C,-0.0043687723
Cr-Zr-Zn-N,0.062066294
Hf-Cr-Al-C,0.13921648
Hf-Cr-Al-N,0.21694994
Hf-Cr-As-C,0.082576014
Hf-Cr-As-N,0.20764804
Hf-Cr-Au-C,0.13846554
